;Aveiro;Beja;Braga;Braganca;Castelo Branco;Coimbra;Evora;Faro;Guarda;Leiria;Lisboa;Portalegre;Porto;Santarem;Setubal;Viana do Castelo;Vila Real;Viseu;RA Acores;RA Madeira;Europa;Fora da Europa;Glob;Nat
Brancos;1.66;1.52;1.72;1.23;1.41;1.98;1.40;1.45;1.37;1.86;1.19;1.52;1.29;1.54;1.24;1.88;1.28;1.56;2.47;0.53;0.58;0.50;1.39;1.43
Nulos;1.07;1.21;0.93;1.33;1.34;1.06;0.88;1.13;1.52;1.28;1.03;1.01;0.98;1.12;0.98;1.07;1.30;1.23;0.99;1.80;39.51;32.51;2.93;1.10
ADN;1.36;1.12;1.79;2.17;1.38;1.00;0.94;2.09;2.56;1.66;1.45;1.04;1.76;1.40;1.53;1.58;2.53;3.13;0.78;1.57;0.40;1.13;1.58;1.63
BE;4.10;4.41;3.85;1.93;4.11;5.11;4.27;5.76;2.70;4.29;4.95;3.12;4.66;4.46;6.00;3.45;2.45;2.76;3.41;2.94;2.70;1.87;4.36;4.46
CH;17.26;21.55;16.87;18.19;19.53;15.46;19.97;27.23;18.62;19.67;17.02;24.41;15.33;23.34;20.32;18.64;17.12;19.46;15.76;17.56;18.01;18.16;18.07;18.06
E;0.08;0.12;0.09;0.15;0.09;0.07;0.09;0.14;0.22;0.12;0.08;0.09;0.07;0.15;0.11;0.10;0.10;0.08;0.06;0.16;0.08;0.12;0.09;0.09
IL;5.11;2.22;6.10;1.71;2.74;3.96;2.49;4.56;2.25;5.66;6.59;1.90;5.75;3.78;5.36;3.57;2.03;2.81;2.71;3.89;2.40;1.93;4.94;5.08
JPP;0;0;0.11;0;0;0.08;0;0.26;0;0;0.06;0;0.10;0;0.09;0;0;0;0.20;9.57;0.23;0.20;0.3;0.3
L;2.25;1.78;2.32;1.00;2.01;2.85;1.98;2.76;1.36;2.64;5.48;1.44;3.35;2.47;4.29;1.97;1.36;1.69;1.71;1.24;1.71;0.71;3.16;3.26
MPT;0.05;0;0.12;0.07;0;0.07;0.05;0;0.09;0.11;0.09;0.05;0;0.12;0.09;0.14;0;0.09;0;0.15;0.05;0.10;0.07;0.07
NC;0;0;0.10;0;0;0;0;0;0;0;0;0;0.07;0;0;0;0;0;0;0.20;0.21;0.26;0.04;0.03
ND;0.25;0.14;0.47;0.45;0.29;0.24;0.18;0.33;0.34;0.27;0.18;0.20;0.16;0.18;0.25;0.49;0.24;0.26;0;0;0.21;1.48;0.25;0.24
PAN;1.72;1.22;1.43;0.82;1.32;1.59;1.12;2.59;0.97;1.70;2.49;0.83;2.10;1.57;2.56;1.44;0.91;1.21;1.56;2.09;2.17;2.37;1.95;1.93
CDU;1.38;15.03;1.82;1.07;2.19;2.82;10.93;3.18;1.57;2.42;3.73;6.13;2.36;4.12;7.73;2.17;1.37;1.37;1.09;1.62;0.99;0.75;3.17;3.3
PCTP;0.28;0.81;0.34;0;0.40;0;0;0;0;0;0.34;0.50;0.31;0;0.47;0;0;0;0;0;0.31;0;0.24;0.24
AD;35.13;16.74;33.16;40.00;28.46;30.58;22.43;22.38;34.12;35.17;27.05;23.30;30.42;27.29;17.17;34.72;39.34;36.36;39.85;35.37;13.98;22.84;28.84;29.49
PPM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30;0;0;0.01;0.01
PS;27.70;31.70;28.24;29.64;34.24;32.68;32.79;25.43;31.86;22.50;27.73;34.07;30.33;27.86;31.28;28.15;29.61;27.45;29.18;19.84;15.95;14.58;28.00;28.66
PTP;0;0;0;0;0;0;0;0;0;0;0.10;0;0;0;0.08;0;0;0;0;0.48;0;0;0.04;0.04
RIR;0.45;0.23;0.40;0.23;0.34;0.30;0.31;0.46;0.34;0.42;0.22;0.29;0.82;0.38;0.26;0.44;0.27;0.39;0.12;0.48;0.19;0.19;0.4;0.41
VP;0.14;0.19;0.14;0;0.16;0.18;0.17;0.25;0.11;0.20;0.22;0.09;0.15;0.23;0.19;0.18;0.10;0.16;0.11;0.19;0.32;0.28;0.18;0.18
